horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,42091,Montgomery County,-2.761134367087613e-05,-5.210583562581354e-06,2.1605614160991223e-05,1,1
osi_target_t01h,42095,Northampton County,-6.121068284761105e-05,-2.683590958193734e-05,2.570429998880819e-06,1,1
osi_target_t01h,42097,Northumberland County,1.821323502159593e-05,-1.5506864162634013e-05,-1.6898343252400136e-05,0,2
osi_target_t01h,42101,Philadelphia County,-1.8148830833388148e-05,5.127663942257072e-05,7.0757806037492245e-06,2,0
osi_target_t01h,42103,Pike County,-1.1215925574573548e-05,2.6107358332805742e-05,-1.8695631178813638e-06,1,1
osi_target_t01h,42109,Snyder County,1.1753069171678565e-06,5.215286204154814e-05,-1.0901807100805253e-05,1,1
osi_target_t01h,42113,Sullivan County,3.9726433547626096e-05,-4.163439215770738e-05,-8.301739816468949e-05,0,2
osi_target_t01h,42115,Susquehanna County,-1.578070314161087e-05,2.4638414977493778e-05,-8.14752717633472e-06,1,1
osi_target_t01h,42119,Union County,8.80263378723327e-05,8.616152676749634e-06,2.419874421546054e-05,2,0
osi_target_t01h,42121,Venango County,0.001440725872130455,-0.001538051524548542,0.0017991814702595366,1,1
osi_target_t01h,42125,Washington County,0.0046371871791421465,-0.001828656250292663,0.0008267343839435896,1,1
osi_target_t01h,42127,Wayne County,3.299530378245456e-06,1.8733409275857506e-05,-6.537165119482684e-06,1,1
osi_target_t01h,42129,Westmoreland County,-0.000550305923658399,5.059177588749358e-05,-0.0004087100388846408,1,1
osi_target_t01h,42131,Wyoming County,2.3306708831390133e-05,-8.805697963231579e-05,-6.48349024297834e-05,0,2
osi_target_t01h,42133,York County,3.087539651365988e-05,3.0335315048454054e-05,2.083292294809407e-05,2,0
osi_target_t01h,54007,Braxton County,-0.00026538371226854374,0.0004769881897429967,-4.839089868144408e-05,1,1
osi_target_t01h,54009,Brooke County,0.0033533022592636963,-0.0013321075465290572,0.004928479818773278,1,1
osi_target_t01h,54013,Calhoun County,-0.0017385018486991144,-0.001013027046556314,-0.0007418838579588416,0,2
osi_target_t01h,54015,Clay County,-0.0013989997630987627,0.0012274892643548418,-0.00017724071183503054,1,1
osi_target_t01h,54019,Fayette County,5.530692144065704e-05,7.165187411606495e-05,-3.427156425116467e-05,1,1
osi_target_t01h,54023,Grant County,1.929709164384067e-05,-2.697262933154624e-06,2.8519736375283195e-05,1,1
osi_target_t01h,54025,Greenbrier County,7.687115582777435e-07,1.0753015546022216e-05,-1.4946136947919966e-05,1,1
osi_target_t01h,54027,Hampshire County,-0.00011590838284508795,5.0345578448146946e-05,1.7538514699490867e-05,2,0
osi_target_t01h,54029,Hancock County,-6.713853350287166e-05,-0.0016213169720985902,0.0004328303051558263,1,1
