scope,fold,component,horizon,candidate,weight,safe_alpha
outer,1,R_t,osi_target_t48h,catboost,0.7761212857145707,1.0
outer,2,R_t,osi_target_t48h,lightgbm,0.36259936133504056,0.9999999999999868
outer,2,R_t,osi_target_t48h,xgboost,0.16495919691196406,0.9999999999999868
outer,2,R_t,osi_target_t48h,catboost,0.4724414417529954,0.9999999999999868
outer,3,R_t,osi_target_t48h,lightgbm,0.2681715002097993,1.0
outer,3,R_t,osi_target_t48h,xgboost,0.0,1.0
outer,3,R_t,osi_target_t48h,catboost,0.7318284997902006,1.0
outer,4,R_t,osi_target_t48h,lightgbm,0.27167524013989164,1.0
outer,4,R_t,osi_target_t48h,xgboost,0.0,1.0
outer,4,R_t,osi_target_t48h,catboost,0.7283247598601084,1.0
final,all,R_t,osi_target_t48h,lightgbm,0.2937285908680226,1.0
final,all,R_t,osi_target_t48h,xgboost,0.0,1.0
final,all,R_t,osi_target_t48h,catboost,0.7062714091319774,1.0
