case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,39119,Muskingum County,OH,3,143,0.007209478080776412,0.004619945386115649,0.00743265011019896,0.004217923056387097,0.007209478080776412,0.0,0.0,0.0
B0,osi_target_t01h,39121,Noble County,OH,0,143,0.0076951262221897606,0.004333415163979427,0.008467740363286841,-0.0033496268752028495,0.0076951262221897606,0.0,0.0,0.0
B0,osi_target_t01h,39123,Ottawa County,OH,1,143,0.0015392068510369076,0.0007061662625259918,0.00033878955542989027,0.0003669506571599867,0.0015392068510369076,0.0,0.0,0.0
B0,osi_target_t01h,39125,Paulding County,OH,2,143,0.018406129249067572,0.009387198771707446,0.048446339932473444,0.0018124763834033188,0.018406129249067572,0.0,0.0,0.0
B0,osi_target_t01h,39127,Perry County,OH,4,143,0.011987905566551675,0.007530286759522367,0.020550512821776175,0.007292001635409043,0.011987905566551675,0.0,0.0,0.0
B0,osi_target_t01h,39129,Pickaway County,OH,2,143,0.0009145830072406265,0.0004124872091774814,0.00011961407703006303,-0.00022646438672007302,0.0009145830072406265,0.0,0.0,0.0
B0,osi_target_t01h,39131,Pike County,OH,2,143,0.005653613132602717,0.0020692367143558426,0.00457075782779872,-0.001543759038242268,0.005653613132602717,0.0,0.0,0.0
B0,osi_target_t01h,39133,Portage County,OH,4,143,0.006301928751152393,0.0035888261410230125,0.005679145755797965,-0.0029916026654187257,0.006301928751152393,0.0,0.0,0.0
B0,osi_target_t01h,39135,Preble County,OH,1,143,0.0055541846527788,0.0027297676991280963,0.004411402303474389,-0.0025707324408179686,0.0055541846527788,0.0,0.0,0.0
B0,osi_target_t01h,39137,Putnam County,OH,2,143,0.009618691585855925,0.0043810125867126916,0.013230249578805626,-0.001001206446208793,0.009618691585855925,0.0,0.0,0.0
B0,osi_target_t01h,39139,Richland County,OH,0,143,0.012043765461885333,0.008581631744930884,0.02074247696962899,-0.007914131683098907,0.012043765461885333,0.0,0.0,0.0
B0,osi_target_t01h,39141,Ross County,OH,0,143,0.002373623594077791,0.0014394506341868965,0.0008056747221898761,0.0013147473704009196,0.002373623594077791,0.0,0.0,0.0
