horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,N_t,138,gust_gt30_next_6h,0.11421360498527364,0.0011421360498527363
osi_target_t01h,N_t,139,wind_cos_t,0.09014221318075635,0.0009014221318075635
osi_target_t01h,N_t,140,tp_at_t6h,0.05979100399354345,0.0005979100399354345
osi_target_t01h,N_t,141,gust_gt40_next_6h,0.05067250193559229,0.000506725019355923
osi_target_t01h,N_t,142,storm_phase,0.05034259095166423,0.0005034259095166423
osi_target_t01h,N_t,143,sdswrf_t,0.045137826084837546,0.00045137826084837545
osi_target_t01h,N_t,144,osi_std_72h,0.041112483275705075,0.0004111248327570507
osi_target_t01h,N_t,145,gust_gt40_next_24h,0.038619991986315896,0.00038619991986315894
osi_target_t01h,N_t,146,tcc_t,0.020421125484056866,0.00020421125484056866
osi_target_t01h,N_t,147,hcc_t,0.01290294163483236,0.0001290294163483236
osi_target_t01h,N_t,148,gust_gt40_next_48h,0.011684798678734601,0.00011684798678734601
osi_target_t01h,N_t,149,is_metro,0.004542961626632062,4.542961626632062e-05
osi_target_t01h,N_t,150,tp_at_t48h,0.0011045323337150108,1.1045323337150108e-05
osi_target_t01h,N_t,151,has_weather_at_t24h,0.0008832968982003289,8.83296898200329e-06
osi_target_t01h,N_t,152,rain_t,0.0007016942547615981,7.016942547615981e-06
osi_target_t01h,N_t,153,window_len_next_6h,1.7069105890038036e-05,1.7069105890038035e-07
osi_target_t01h,N_t,154,has_weather_at_t1h,0.0,0.0
osi_target_t01h,N_t,155,is_full_next_6h,0.0,0.0
osi_target_t01h,N_t,156,has_weather_at_t6h,0.0,0.0
osi_target_t01h,N_t,157,is_full_next_24h,0.0,0.0
osi_target_t01h,N_t,158,window_len_next_24h,0.0,0.0
osi_target_t01h,N_t,159,is_full_next_1h,0.0,0.0
osi_target_t01h,N_t,160,window_len_next_1h,0.0,0.0
osi_target_t01h,N_t,161,is_full_next_48h,0.0,0.0
osi_target_t01h,N_t,162,window_len_next_48h,0.0,0.0
osi_target_t01h,N_t,163,has_weather_at_t48h,0.0,0.0
osi_target_t01h,D_t,1,t2m_at_t48h,14.237877292340267,0.14237877292340265
osi_target_t01h,D_t,2,last_P_t,12.333760682932718,0.12333760682932716
