horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t48h,static_convex,0.005737512184172154,0.0023467520093587288,4512,1,0.005771282327149259,-0.5851410667997214,True
osi_target_t48h,safe_convex,0.005742516904102169,0.002381107962052147,4512,1,0.005771282327149259,-0.49842342509864856,True
osi_target_t48h,v1.8_rule,0.012997021644656546,0.00326727110669638,4608,2,0.012997021644656546,0.0,False
osi_target_t48h,lgbm_direct,0.013045199895381785,0.0033120782708388977,4608,2,0.012997021644656546,0.37068685459216155,False
osi_target_t48h,xgboost_direct,0.013748148357968141,0.0033425883163037042,4608,2,0.012997021644656546,5.779221839031146,False
osi_target_t48h,catboost_direct,0.013630181542312067,0.003405045022696844,4608,2,0.012997021644656546,4.8715768501919055,False
osi_target_t48h,xgboost_component,0.01377525139731882,0.0032409713467797456,4608,2,0.012997021644656546,5.987754532841194,False
osi_target_t48h,catboost_component,0.013410059134203043,0.0032932390315923003,4608,2,0.012997021644656546,3.177939537527119,False
osi_target_t48h,simple_average,0.013385173955111023,0.0032383756581827005,4608,2,0.012997021644656546,2.986471216765718,False
osi_target_t48h,static_convex,0.013295333050965688,0.003210584261008906,4608,2,0.012997021644656546,2.2952289721836827,False
