domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18045,1,Fountain County,143,0.0025780653263334273,0.0010276362634033841,0.0009504381782385033,0.0010124021902076748,0.002727955007173115,0.0011182538815569809,0.0010641686085260046,0.0011049145921690692,0.00014988968083968785,5.814037344540979,-0.0001137304302875013,38,-0.0019982567470680597
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18047,1,Franklin County,143,0.003064798209679895,0.0012831842794577492,0.0013431972934461638,0.0004900137011554436,0.003051049127887669,0.0013231222491113842,0.001331172811652127,0.0005480880765297608,-1.374908179222617e-05,-0.4486129543146089,1.202448179403676e-05,47,0.00021127152877369902
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18051,1,Gibson County,143,0.0013204160892377882,0.0004067712172014878,0.00024932030676667606,2.1349658294371913e-05,0.0013375069063085142,0.00042394326183015107,0.0002558162355924851,4.715917105941907e-05,1.7090817070725952e-05,1.29435086485441,-6.4959288258090424e-06,25,-0.00011413421695348449
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18059,1,Hancock County,143,0.001125452854760431,0.00033509215146189917,0.00018113011034524173,0.00013519418476139278,0.0011349270492836778,0.00033827474703486973,0.00018419249522899303,0.00012910884640437179,9.474194523246887e-06,0.8418117634313216,-3.0623848837512996e-06,24,-5.380645479495544e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18061,1,Harrison County,143,0.004045622930785725,0.0016412710549803878,0.0023404902804281965,-0.0002727285815947345,0.004085339460495002,0.0016601652526637381,0.002386669786569296,-0.0002787891395949817,3.9716529709276846e-05,0.9817160518605927,-4.617950614109944e-05,29,-0.0008113792367570427
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18065,1,Henry County,143,0.002083767049742991,0.0007952270186764056,0.000620918171816029,-0.0001677362706883105,0.002080023693997406,0.000804322151264369,0.0006186892951654578,-0.00016909260052520275,-3.743355745584962e-06,-0.1796436768710108,2.2288766505712066e-06,33,3.916161922651093e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18067,1,Howard County,143,0.0016736145792989555,0.0004733310793876204,0.0004005409636860088,-0.00012911495428646202,0.0016840117437946205,0.00046725507472567267,0.0004055330641130624,-0.00013648529938536661,1.0397164495665016e-05,0.6212400766740567,-4.99210042705355e-06,24,-8.771177894239781e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18069,1,Huntington County,143,0.0010162498266008697,0.0005114521637462244,0.00014768521053948056,-0.00016790536112828926,0.0010675028326613879,0.0005422373943632133,0.00016295740857683247,-0.00019527868922353288,5.125300606051821e-05,5.043347090345707,-1.527219803735191e-05,39,-0.00026833427688219925
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18071,1,Jackson County,143,0.004509003932672642,0.001801376839012811,0.0029073496544746017,0.0017826018744487668,0.004552420706507609,0.0018089508596316102,0.002963608403332611,0.0017826326964584685,4.3416773834966706e-05,0.9628905736889015,-5.625874885800946e-05,37,-0.000988472691107716
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18073,1,Jasper County,143,0.0034408328817923006,0.0020928851858311457,0.0016930243216205048,0.0019288737998683387,0.0034425518811370855,0.002130871417430056,0.0016947163739678296,0.0019655549079670024,1.718999344784821e-06,0.04995881531710822,-1.692052347324795e-06,91,-2.9729554446306357e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18077,1,Jefferson County,143,0.004908105725248006,0.0014889782513676738,0.003444798758860352,-0.0010581519408022276,0.004946847926625407,0.001487070902610486,0.003499396530509607,-0.0010848526942692934,3.874220137740133e-05,0.7893514024790882,-5.459777164925489e-05,31,-0.0009592891304218927
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18083,1,Knox County,143,0.00324948564792519,0.001584453013849624,0.001509959447578266,0.0014781593075559177,0.0032258442125201823,0.0015634059092417705,0.0014880681363333436,0.0014571122029480642,-2.3641435405007648e-05,-0.7275439243777826,2.1891311244922424e-05,41,0.000384632857598012
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18085,1,Kosciusko County,143,0.004285489495349853,0.0036264435603333466,0.002626255090709814,0.0035343751761546583,0.004305393897453668,0.003639189267926156,0.002650707575549074,0.0035453044936815284,1.990440210381493e-05,0.46446041054151177,-2.4452484839260213e-05,143,-0.0004296329723637827
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18087,1,LaGrange County,143,0.0020512134927906512,0.0018594616969863263,0.0006016691813999185,0.0018180927860925468,0.0021457832742062164,0.0019532235449913437,0.0006584271779604306,0.0019323227548897629,9.456978141556514e-05,4.610430935051246,-5.6757996560512117e-05,143,-0.000997244530688928
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18089,1,Lake County,143,0.002592658743612393,0.0019383141877076413,0.0009612287485986602,0.001064479604058199,0.0026361961466322605,0.0019675468457198177,0.0009937828076631854,0.001063305076735624,4.3537403019867655e-05,1.6792569838638416,-3.255405906452515e-05,111,-0.0005719785637467029
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18091,1,LaPorte County,143,0.0014229863715731084,0.000732051905919832,0.0002895593005566405,-0.00012169500904850739,0.0014164587889179355,0.0007341265134374336,0.0002869088366005097,-9.556269718195074e-05,-6.5275826551729026e-06,-0.4587241863712732,2.6504639561308213e-06,51,4.656895669708168e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18093,1,Lawrence County,143,0.007682689231908559,0.002387131513247455,0.008440391078273973,-0.0020337413087141596,0.007692150412691665,0.002392366448724426,0.008461192449920574,-0.0020170709144049256,9.461180783106038e-06,0.12314933609198775,-2.0801371646601494e-05,38,-0.00036548249343658487
