candidate,kind,outer_fold,feature,group,gain,gain_fraction,split_count
F1,b,0,is_full_next_24h,original_163,0.0,0.0,0
F1,b,0,tp_rate_next_24h,original_163,0.08472179411910474,0.0013600220536066773,10
F1,b,0,gust_gt30_frac_next_24h,original_163,0.006068849936127663,9.742203690303902e-05,1
F1,b,0,has_weather_at_t24h,original_163,0.0,0.0,0
F1,b,0,window_len_next_48h,original_163,0.0,0.0,0
F1,b,0,is_full_next_48h,original_163,0.0,0.0,0
F1,b,0,tp_rate_next_48h,original_163,0.3010164022562094,0.004832156233498205,17
F1,b,0,gust_gt30_frac_next_48h,original_163,0.07917569749406539,0.0012709916712839995,10
F1,b,0,has_weather_at_t48h,original_163,0.0,0.0,0
F1,b,0,dem_elevation_mean_m,DEM,0.2801704786834307,0.004497520782472207,29
F1,b,0,dem_elevation_std_m,DEM,0.18841966975014657,0.0030246633567890986,27
F1,b,0,dem_elevation_min_m,DEM,0.12205704528605565,0.0019593573898321354,31
