horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,39065,Hardin County,0,143,0.002631686880964961,0.001321116997302049,0.0009903859450403612,0.0003070681836733046,0.002631686880964961,0.001321116997302049,0.0009903859450403612,0.0003070681836733046,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39069,Henry County,0,143,0.0032439564042907546,0.0017153457871623568,0.0015048252008702772,-0.001583850236488851,0.0032439564042907546,0.0017153457871623568,0.0015048252008702772,-0.001583850236488851,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39073,Hocking County,3,143,0.0022795286056270514,0.0015747479267538358,0.0007430638449336972,0.0004926290241930241,0.0022795286056270514,0.0015747479267538358,0.0007430638449336972,0.0004926290241930241,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39075,Holmes County,0,143,0.01163978227249185,0.006092898155720504,0.019374287983195224,-0.003658017119511373,0.01163978227249185,0.006092898155720504,0.019374287983195224,-0.003658017119511373,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39045,Fairfield County,0,143,0.0036443912216033874,0.00226353120791018,0.0018992669947822756,0.00132187603038303,0.0036443912216033874,0.00226353120791018,0.0018992669947822756,0.00132187603038303,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39111,Monroe County,4,143,0.019628094230030715,0.011150083611023013,0.055092477883724005,0.010477553965414025,0.019628094230030715,0.011150083611023013,0.055092477883724005,0.010477553965414025,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39099,Mahoning County,3,143,0.0018423798992645362,0.0009883354334050709,0.00048539400812960235,0.0005497316891935009,0.0018423798992645362,0.0009883354334050709,0.00048539400812960235,0.0005497316891935009,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39103,Medina County,2,143,0.008673770660407082,0.00587320851780513,0.010758504538115436,0.005640708597115127,0.008673770660407082,0.00587320851780513,0.010758504538115436,0.005640708597115127,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,39087,Lawrence County,2,143,0.003612585615934422,0.0012923126509054212,0.0018662608010412494,0.0002092193602046976,0.003612585615934422,0.0012923126509054212,0.0018662608010412494,0.0002092193602046976,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18107,Montgomery County,4,143,0.0011706137360078723,0.0005672038703077952,0.00019595812220703413,0.000305326663471371,0.0011706137360078723,0.0005672038703077952,0.00019595812220703413,0.000305326663471371,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18109,Morgan County,0,143,0.003188304174893359,0.0014174222461564266,0.0014536355421648664,0.0011377019664361471,0.003188304174893359,0.0014174222461564266,0.0014536355421648664,0.0011377019664361471,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18111,Newton County,1,143,0.0043812530026392646,0.0028961965289787455,0.0027449390358583866,0.0022294203140662047,0.0043812530026392646,0.0028961965289787455,0.0027449390358583866,0.0022294203140662047,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18105,Monroe County,1,143,0.0021644221635437636,0.0007841676450733884,0.0006699154321916437,-0.00014123511915729005,0.0021644221635437636,0.0007841676450733884,0.0006699154321916437,-0.00014123511915729005,0.0,0.0,0.0,0,0.0
