candidate,horizon,fipsCode,rmse,mae,n
L0,osi_target_t01h,42113,0.004116079994612789,0.002798502759672626,143
L0,osi_target_t01h,42115,0.004562314175039338,0.0024501711091803402,143
L0,osi_target_t01h,42119,0.0022848934577617505,0.0009651158541942276,143
L0,osi_target_t01h,42121,0.022083212261976227,0.00863003870452734,143
L0,osi_target_t01h,42125,0.010169220204827512,0.0057339929276049185,143
L0,osi_target_t01h,42127,0.0028083453608455733,0.0013442891828457932,143
L0,osi_target_t01h,42129,0.00473340428956676,0.0024129681166978525,143
L0,osi_target_t01h,42131,0.015804471078946416,0.003741138142244688,143
L0,osi_target_t01h,42133,0.0023218858103984815,0.0009613730715653178,143
L0,osi_target_t01h,54007,0.02719203272994459,0.013950610430944454,143
L0,osi_target_t01h,54009,0.02282418097732922,0.011108029911194162,143
L0,osi_target_t01h,54013,0.04536602243903401,0.022761588509048022,143
L0,osi_target_t01h,54015,0.05086387123674652,0.02667876225844374,143
L0,osi_target_t01h,54019,0.00563433184569111,0.002950160731222427,143
L0,osi_target_t01h,54023,0.0009388434829520867,0.0004926218460257413,143
L0,osi_target_t01h,54025,0.001798219426284388,0.0009712266127428435,143
L0,osi_target_t01h,54027,0.0018426156475644458,0.0008478279810273926,143
L0,osi_target_t01h,54029,0.012447265560702659,0.007247829761803504,143
L0,osi_target_t01h,54031,0.004104587322265298,0.0029474539493777934,143
L0,osi_target_t01h,54033,0.004146327718025825,0.0023452162880779033,143
L0,osi_target_t01h,54035,0.00322256848647185,0.002026533183927132,143
L0,osi_target_t01h,54037,0.0031051585874708187,0.0011702399244065116,143
L0,osi_target_t01h,54039,0.0028670777069925665,0.0016340989879584343,143
L0,osi_target_t01h,54041,0.014640466048405578,0.0042561294633642836,143
L0,osi_target_t01h,54043,0.006925884571784265,0.00436385415127544,143
L0,osi_target_t01h,54045,0.007698817515876365,0.0037225525231765035,143
L0,osi_target_t01h,54047,0.004770659660184874,0.0034744287440134913,143
L0,osi_target_t01h,54053,0.0015398021524740046,0.0009712195255244016,143
L0,osi_target_t01h,54055,0.0019306716690754486,0.0008556928392427055,143
L0,osi_target_t01h,54057,0.001462465627039343,0.000842986126294191,143
L0,osi_target_t01h,54059,0.013471466283840836,0.006870771897386892,143
L0,osi_target_t01h,54063,0.001960765180053346,0.001151640986782182,143
L0,osi_target_t01h,54067,0.004981234535573983,0.0020307865633006216,143
L0,osi_target_t01h,54069,0.00751859760674323,0.0051752984414191,143
L0,osi_target_t01h,54071,0.00859193176515978,0.006222492598821745,143
L0,osi_target_t01h,54073,0.0052458536595268385,0.0032454164088683173,143
L0,osi_target_t01h,54075,0.008549141560432374,0.006323486426311082,143
L0,osi_target_t01h,54077,0.004230801676547391,0.0013843625105614207,143
L0,osi_target_t01h,54079,0.0011717429103313194,0.0007149101610745931,143
L0,osi_target_t01h,54081,0.0015424631527882224,0.0009193877831274356,143
L0,osi_target_t01h,54083,0.009549887081680454,0.007322178892679207,143
L0,osi_target_t01h,54085,0.011906188229190848,0.005896761926964423,143
