case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,39069,0,143,0.002638290281844764,0.0011777989324455198,0.0009953623124125427,-0.0009597435836670355,0.002638290281844764,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39073,2,143,0.0033264209603187517,0.0024255151590241047,0.0015823059259504535,0.0017154991611668983,0.0033264209603187517,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39075,3,143,0.010079881888881452,0.005695763710549584,0.01452937470181344,-0.0025704962159119106,0.010079881888881452,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39077,1,143,0.004285276284554959,0.002649227606786427,0.0026259937754005884,0.0024166290954834853,0.004285276284554959,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39081,4,143,0.010957227008724304,0.006249967363741799,0.017168697792062586,0.0008964874447253195,0.010957227008724304,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39085,2,143,0.0023520680304188503,0.0012531142583817837,0.0007911080348197326,-0.00048044890303651895,0.0023520680304188503,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39087,3,143,0.003580560883421641,0.0012218161535581843,0.0018333195223041502,0.00010994288741466763,0.003580560883421641,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39089,1,143,0.021735616713418827,0.009222294025289703,0.06755849584950922,-0.008633588784494465,0.021735616713418827,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39091,3,143,0.0136136750304123,0.010039406422026333,0.026502497140215,0.009270783255972387,0.0136136750304123,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39093,3,143,0.0022689567048762636,0.0012635680777815766,0.0007361875275902222,-9.036552056786633e-05,0.0022689567048762636,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39095,1,143,0.0019336814474792414,0.001145222097166375,0.0005346947234665342,-0.000993557860660228,0.0019336814474792414,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39097,4,143,0.008766373624858617,0.003380285394476067,0.010989450833878204,0.0008259770700996201,0.008766373624858617,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39099,0,143,0.0019111596897636047,0.0010598347120818034,0.0005223119844481565,0.0004779183053590462,0.0019111596897636047,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39101,0,143,0.006416764122512531,0.004868222439235654,0.005888005237966853,-0.0025506832163436134,0.006416764122512531,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39103,4,143,0.006124974153263928,0.004143988712195542,0.005364689098075617,0.0037496220750942244,0.006124974153263928,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39105,1,143,0.0034220729278783596,0.0015918978932623535,0.0016746133866916695,-0.0002576263018540108,0.0034220729278783596,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39107,3,143,0.0192193315453424,0.010217411881690381,0.05282172682212047,0.010188041252319752,0.0192193315453424,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39109,1,143,0.0018306993867016953,0.0011040012788358115,0.0004792588149592047,0.0005071958670401745,0.0018306993867016953,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39111,2,143,0.020799145460856303,0.01114096965663746,0.06186243662196588,0.010585125134895033,0.020799145460856303,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39113,4,143,0.001384850471913825,0.0007397038077032439,0.00027424694862707193,-0.0006875488739943504,0.001384850471913825,0.0,0.0,0.0
