horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.0,27313,0.009649111965538257,0.0032967413353610043,2.54298674475378
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.05,27313,0.009552899907191728,0.003264169843840917,2.4925269308415667
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.1,27313,0.009473811293903282,0.0032396810349952414,2.4514264321125823
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.2,27313,0.00936955674267928,0.003214268588345049,2.3977698557482343
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.35,27313,0.009348828811948977,0.0032341119187337996,2.3871725920369924
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.5,27313,0.00948932886936303,0.0033031906925438514,2.4594636089833797
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.75,27313,0.010054541447762862,0.003490025463335786,2.761175061134952
osi_target_t01h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,1.0,27313,0.010968630784752275,0.00372658340094522,3.2860505544742766
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.0,27313,0.012008753229957536,0.003511987925057299,3.938811939971619
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.05,27313,0.011898074904584385,0.003482440847419854,3.8665426241019056
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.1,27313,0.011798370215564475,0.003456915588146225,3.802011655014733
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.2,27313,0.01163593427469584,0.003430684878014359,3.698042718513416
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.35,27313,0.011487676514986955,0.003440510140811749,3.6044067970166993
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.5,27313,0.011453690804083275,0.0034978430504788408,3.5831114332997527
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.75,27313,0.011646337529420833,0.0036487150970670916,3.704658238595095
osi_target_t01h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,1.0,27313,0.012130636208438659,0.0038492407938916146,4.019171720979166
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.0,26358,0.011243848242614629,0.0035992583388194267,3.3322870420191055
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.05,26358,0.01117644566042226,0.003586126691194894,3.292455209270594
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.1,26358,0.011118856499945168,0.003576303003707651,3.258612387737857
