model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
V18_C3,osi_target_t06h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736,-0.2987651260071871,0.0002843706909633813,0.005424307853274119,79.53277545327755
V18_C3,osi_target_t24h,2026-03-15,0.010572394360004338,0.004886182176397557,5736,0.6199724943349215,0.006876029451176222,0.13341913184272436,23.23919107391911
V18_C3,osi_target_t24h,2026-03-16,0.009829843568113655,0.004304667789577551,5736,0.2981676828276649,0.0045445777759734515,0.048326766063667426,9.431659693165969
V18_C3,osi_target_t24h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736,0.4260301002295913,0.0030214043223857926,0.05405995210824589,35.87866108786611
V18_C3,osi_target_t24h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736,-0.007328895866915319,0.0005395883524170606,0.008252734682214246,70.39748953974896
V18_C3,osi_target_t24h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736,-0.2987651260071871,0.0002843706909633813,0.005424307853274119,79.53277545327755
V18_C3,osi_target_t48h,2026-03-16,0.009829843568113655,0.004304667789577551,5736,0.2981676828276649,0.0045445777759734515,0.048326766063667426,9.431659693165969
V18_C3,osi_target_t48h,2026-03-17,0.010400683990110529,0.0034810556315030368,5736,0.4260301002295913,0.0030214043223857926,0.05405995210824589,35.87866108786611
V18_C3,osi_target_t48h,2026-03-18,0.005402017670366318,0.0008268824770264367,5736,-0.007328895866915319,0.0005395883524170606,0.008252734682214246,70.39748953974896
V18_C3,osi_target_t48h,2026-03-19,0.0010704083404650662,0.0003944104558657538,5736,-0.2987651260071871,0.0002843706909633813,0.005424307853274119,79.53277545327755
E2_profile_huber_all,osi_target_t01h,2026-03-14,0.022242581558127805,0.007361302165737167,5497,0.784190568090932,0.01917500155586923,0.30192190279859404,31.107877023831183
