feature_set,component,candidate,horizon,fold,rmse,mae,n,best_rounds,train_q95,classification_rounds,magnitude_rounds,positive_train_rows,positive_valid_rows
profile,P_t,huber,osi_target_t24h,3,0.009670007052530537,0.00466355121153808,5760,38.0,,,,,
profile,P_t,huber,osi_target_t24h,4,0.012581153945877013,0.003939594660852042,5760,409.0,,,,,
profile,P_t,huber,osi_target_t48h,0,0.005839088224029521,0.0027538466486961527,4608,309.0,,,,,
profile,P_t,huber,osi_target_t48h,1,0.009201763583898181,0.003625101105273769,4512,15.0,,,,,
profile,P_t,huber,osi_target_t48h,2,0.02129203356542522,0.005001619337303464,4608,447.0,,,,,
profile,P_t,huber,osi_target_t48h,3,0.008187540302486472,0.003617723885454371,4608,25.0,,,,,
profile,P_t,huber,osi_target_t48h,4,0.01119973635401045,0.0032023406399754374,4608,180.0,,,,,
profile,P_t,l2,osi_target_t01h,0,0.010455175768402953,0.004318221940123138,6864,145.0,,,,,
profile,P_t,l2,osi_target_t01h,1,0.017902518150128187,0.0066494652449825735,6721,43.0,,,,,
profile,P_t,l2,osi_target_t01h,2,0.02111265899212515,0.00646894633268624,6864,216.0,,,,,
profile,P_t,l2,osi_target_t01h,3,0.024883186296690153,0.0062736554736861905,6864,388.0,,,,,
profile,P_t,l2,osi_target_t01h,4,0.018032749618359895,0.005179557755657967,6864,140.0,,,,,
profile,P_t,l2,osi_target_t06h,0,0.01003419223602118,0.00409479839336387,6624,175.0,,,,,
profile,P_t,l2,osi_target_t06h,1,0.01611632772145248,0.006288249653144934,6486,31.0,,,,,
profile,P_t,l2,osi_target_t06h,2,0.021342355110316277,0.00618464237725567,6624,700.0,,,,,
profile,P_t,l2,osi_target_t06h,3,0.018406063227646482,0.005864075059149462,6624,109.0,,,,,
profile,P_t,l2,osi_target_t06h,4,0.014037012394295686,0.004550265450177921,6624,425.0,,,,,
profile,P_t,l2,osi_target_t24h,0,0.0072623761816696854,0.0033064122967526636,5760,200.0,,,,,
profile,P_t,l2,osi_target_t24h,1,0.013864039910463023,0.005419435049972291,5640,11.0,,,,,
profile,P_t,l2,osi_target_t24h,2,0.021325308751725926,0.006223579425128105,5760,537.0,,,,,
profile,P_t,l2,osi_target_t24h,3,0.009670007052530537,0.00466355121153808,5760,38.0,,,,,
profile,P_t,l2,osi_target_t24h,4,0.012581153945877013,0.003939594660852042,5760,409.0,,,,,
profile,P_t,l2,osi_target_t48h,0,0.005839088224029521,0.0027538466486961527,4608,309.0,,,,,
profile,P_t,l2,osi_target_t48h,1,0.009201763583898181,0.003625101105273769,4512,15.0,,,,,
profile,P_t,l2,osi_target_t48h,2,0.02129203356542522,0.005001619337303464,4608,447.0,,,,,
profile,P_t,l2,osi_target_t48h,3,0.008187540302486472,0.003617723885454371,4608,25.0,,,,,
profile,P_t,l2,osi_target_t48h,4,0.01119973635401045,0.0032023406399754374,4608,180.0,,,,,
profile,P_t,weighted_l2,osi_target_t01h,0,0.011078233856727503,0.005221829479641599,6864,95.0,0.042559359799999946,,,,
profile,P_t,weighted_l2,osi_target_t01h,1,0.019115979080066584,0.007566474500012806,6721,67.0,0.04184933575,,,,
profile,P_t,weighted_l2,osi_target_t01h,2,0.020985911413387192,0.007046111385669252,6864,101.0,0.040003796199999886,,,,
profile,P_t,weighted_l2,osi_target_t01h,3,0.025201777957023767,0.007127754184657411,6864,352.0,0.043476921999999994,,,,
profile,P_t,weighted_l2,osi_target_t01h,4,0.017758312849094893,0.00569488645344767,6864,232.0,0.04180986039999986,,,,
profile,P_t,weighted_l2,osi_target_t06h,0,0.010488648393438632,0.004625199458376044,6624,206.0,0.03566994304999992,,,,
profile,P_t,weighted_l2,osi_target_t06h,1,0.016857156656725897,0.007200160247370805,6486,55.0,0.034185903499999996,,,,
profile,P_t,weighted_l2,osi_target_t06h,2,0.021321484994462993,0.006582310624930913,6624,315.0,0.03200717899999994,,,,
profile,P_t,weighted_l2,osi_target_t06h,3,0.019378800079981558,0.006950106936503101,6624,112.0,0.03607305154999982,,,,
profile,P_t,weighted_l2,osi_target_t06h,4,0.013607441346579405,0.0048144701213706665,6624,180.0,0.03441929,,,,
profile,P_t,weighted_l2,osi_target_t24h,0,0.008200218721881041,0.004085679664337917,5760,112.0,0.02316009814999999,,,,
profile,P_t,weighted_l2,osi_target_t24h,1,0.01406915911219074,0.007417325236290005,5640,17.0,0.022516476299999987,,,,
profile,P_t,weighted_l2,osi_target_t24h,2,0.022227082627412846,0.006833200974743909,5760,416.0,0.021759778599999988,,,,
profile,P_t,weighted_l2,osi_target_t24h,3,0.011228743367117553,0.0070704322586188405,5760,27.0,0.023205545499999997,,,,
profile,P_t,weighted_l2,osi_target_t24h,4,0.012574834669862592,0.00434986279698102,5760,144.0,0.022708591899999995,,,,
profile,P_t,weighted_l2,osi_target_t48h,0,0.006513834566290913,0.0031848512944951837,4608,161.0,0.014525994,,,,
