model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E1_subset_1011,osi_target_t48h,0.007592908761336317,0.0023218529772275676,22944,0.3770837244327211,0.0020917024513388586,0.06225349433347234,46.29968619246862,E1,1011,P_t+D_t+R_t
E1_subset_1100,osi_target_t48h,0.007605062620514154,0.0022629831345239108,22944,0.37508794226402753,0.0019852774935528385,0.06218159225047259,48.2784170153417,E1,1100,P_t+N_t
E1_subset_1101,osi_target_t48h,0.007603243078022234,0.0022764460215419996,22944,0.375386932049403,0.0020098728601989605,0.06250213670292452,47.89923291492329,E1,1101,P_t+N_t+R_t
E1_subset_1110,osi_target_t48h,0.007605062620514154,0.0022629831345239108,22944,0.37508794226402753,0.0019852774935528385,0.06218159225047259,48.2784170153417,E1,1110,P_t+N_t+D_t
E1_subset_1111,osi_target_t48h,0.007603243078022234,0.0022764460215419996,22944,0.375386932049403,0.0020098728601989605,0.06250213670292452,47.89923291492329,E1,1111,P_t+N_t+D_t+R_t
E3_subset_0000,osi_target_t01h,0.011865427114391812,0.003526919842147216,34177,0.7285527775522072,0.00562748524698006,0.2926764026968674,51.58732480908213,E3,0000,none
E3_subset_0001,osi_target_t01h,0.011866052854060762,0.0035490777321654913,34177,0.7285241465097254,0.005671768790086802,0.29280009694436665,51.07235860373935,E3,0001,R_t
E3_subset_0010,osi_target_t01h,0.01184108264201585,0.003596727759110657,34177,0.7296654994514666,0.005752030407071028,0.28441276668246857,47.713374491617174,E3,0010,D_t
E3_subset_0011,osi_target_t01h,0.011842469492275945,0.003619758274180947,34177,0.7296021715550192,0.0057965332191258125,0.28464572908974106,47.27448283933639,E3,0011,D_t+R_t
E3_subset_0100,osi_target_t01h,0.011876664215428866,0.003462361849099598,34177,0.7280383882744208,0.005506259371259961,0.29286993052429117,53.19074231208123,E3,0100,N_t
E3_subset_0101,osi_target_t01h,0.01187580108035265,0.0034830959664187873,34177,0.7280779163897857,0.0055494494841420335,0.2929936247717904,52.70503555022383,E3,0101,N_t+R_t
E3_subset_0110,osi_target_t01h,0.011850575944188074,0.003528192476376572,34177,0.7292318573698532,0.005628214544998188,0.2843967879103312,49.34312549375311,E3,0110,N_t+D_t
E3_subset_0111,osi_target_t01h,0.011850485168462573,0.003550429955311984,34177,0.7292360055362489,0.005672341969603586,0.284514913300524,48.8632706205928,E3,0111,N_t+D_t+R_t
E3_subset_1000,osi_target_t01h,0.011854482972802638,0.0035744520627845233,34177,0.7290532882815592,0.00568807182161109,0.29825855435166815,47.63437399420663,E3,1000,P_t
E3_subset_1001,osi_target_t01h,0.011854231991464157,0.003597405065833854,34177,0.7290647610465293,0.005733072941387147,0.2983822485991674,47.13696345495509,E3,1001,P_t+R_t
